gender,age,ed,retire,income,creddebt,othdebt,default,marital,homeown
0,27,17,0,22,0.262856,2.289144,0,0,0
1,44,19,0,50,0.368,4.232,0,0,1
0,68,13,1,32,0.351072,6.272928,0,1,1
1,32,21,0,33,0.405405,1.739595,1,0,1
1,41,15,0,25,0.57,1.93,0,0,0
1,47,16,0,39,0.293475,1.383525,0,1,1
1,20,15,0,40,0.11424,1.24576,1,0,0
1,47,12,0,59,1.562792,1.741208,1,1,1
0,50,15,0,80,1.05096,1.26904,0,1,1
0,18,13,0,15,0.328335,0.466665,1,0,0
1,31,13,0,37,0.4588,5.2762,1,0,1
0,22,11,0,14,0.122766,0.395234,0,0,1
1,24,19,0,20,0.0944,0.2256,1,1,0
0,54,12,0,135,1.52091,16.16409,0,0,0
0,38,15,0,21,0.462378,1.658622,0,0,0
0,37,16,0,40,0.29748,4.14252,1,1,0
0,48,20,0,50,3.08175,2.16825,1,1,1
0,22,13,0,25,0.4815,1.7685,1,0,0
1,29,12,0,24,0.904176,0.967824,1,1,1
1,21,16,0,21,0.165984,0.506016,1,1,1
0,31,19,0,59,1.944876,9.914124,1,0,0
0,44,19,0,184,16.631208,1.584792,1,0,0
0,18,13,0,18,0.914004,0.489996,0,0,0
1,50,14,0,26,0.363168,3.380832,1,1,1
1,29,20,0,35,0.315945,1.749055,0,0,0
1,60,9,0,44,2.5575,4.2625,0,1,1
1,35,18,0,41,0.675352,5.146648,0,0,1
1,58,14,0,62,0.122016,0.249984,0,1,1
1,21,13,0,15,0.105225,1.619775,1,0,1
0,20,15,0,41,1.29888,1.98112,1,1,1
0,38,20,0,88,7.911904,8.104096,1,0,1
0,20,12,0,15,0.069795,0.425205,0,1,0
1,24,19,0,30,3.27624,1.10376,1,1,1
1,68,8,0,43,2.585289,3.735711,0,0,0
1,20,12,0,22,0.384406,1.837594,1,1,1
0,55,20,0,30,2.51853,2.85147,1,0,0
0,77,17,1,97,0.882894,6.295106,0,1,1
0,65,10,1,31,1.481025,0.843975,0,1,0
1,19,14,0,28,2.88834,2.57166,1,0,1
0,43,14,0,36,1.33056,2.98944,1,0,0
0,79,16,1,32,2.87712,3.04288,0,1,1
0,65,16,0,296,18.069912,32.546088,1,0,1
0,25,15,0,19,0.073606,0.420394,0,1,1
0,37,12,0,40,0.447,2.553,0,0,0
0,30,17,0,14,0.603092,1.062908,1,0,0
1,27,18,0,58,2.639232,11.106768,1,0,1
0,70,18,0,25,0.44485,0.33015,0,0,1
1,78,19,1,23,0.79373,1.16127,0,0,0
1,39,11,0,49,0.965545,0.749455,0,0,0
1,36,15,0,32,1.09392,3.99408,1,0,1
1,27,17,0,24,0.28536,0.69864,1,1,1
1,21,15,0,24,1.62816,2.21184,1,0,1
0,49,14,0,55,5.46315,3.00685,0,1,0
1,79,10,1,9,0.660744,0.581256,0,1,1
0,22,10,0,20,0.01144,0.86856,1,1,1
1,72,20,1,65,1.319565,3.035435,0,0,0
0,72,16,1,16,0.6048,1.0752,0,0,1
0,28,12,0,22,1.01816,1.26984,0,0,0
1,68,8,1,18,0.08352,0.27648,1,0,0
1,46,12,0,143,11.222211,4.650789,1,0,0
1,78,12,1,9,0.101106,0.267894,0,0,1
1,27,10,0,20,0.646,1.354,0,0,0
0,24,14,0,29,2.03609,1.41491,1,0,0
